waypoint1	waypoint2	distance_m	duration_s
Cascade Lakes National Scenic Byway, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	10353	651
Tiddlywinks Trail, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	2640	303
Swede Ridge Rd, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	349473	15299
National Forest Development Road 1912, Westfir, Oregon 97492	Camp Tapawingo, Black Rock Road, Falls City, Oregon	204163	9250
Cascade Lakes National Scenic Byway, Bend, OR 97701	Tiddlywinks Trail, Bend, OR 97701	8986	672
National Forest Development Road 550, Lowell, OR 97452	16213-16221 Skyliners Rd, Bend, OR 97701	198375	10532
Cascade Lakes National Scenic Byway, Bend, OR 97701	Storm King Trail, Bend, OR 97701	15048	1071
Kiwa Butte Trail, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	221128	9775
Paulina Lake Campground, La Pine, OR 97739	Swede Ridge Rd, Bend, OR 97701	74319	4150
Paulina Lake Campground, La Pine, OR 97739	National Forest Development Road 1912, Westfir, Oregon 97492	159472	7995
Cascade Lakes National Scenic Byway, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	338369	14123
Tiddlywinks Trail, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	278655	12794
North Campground, Lane County, OR	National Forest Development Road 1910, Westfir, OR 97492	85726	4645
Paulina Lake Campground, La Pine, OR 97739	Fall Creek Access Rd, Alsea, OR 97324	268892	12302
Cascade Lakes National Scenic Byway, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	11104	1175
Storm King Trail, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	274185	12842
Tolo Creek	5057 Riordan Hill Dr, Hood River, OR 97031	406618	17607
16213-16221 Skyliners Rd, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	272376	12587
5057 Riordan Hill Dr, Hood River, OR 97031	Storm King Trail, Bend, OR 97701	251787	11637
Cascade Lakes National Scenic Byway, Bend, OR 97701	Woods Creek Rd, Philomath, OR 97370	251401	11791
McKenzie River Trail, Lane County, OR	Swede Ridge Rd, Bend, OR 97701	135569	6678
Swede Ridge Rd, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	262288	13238
Tiddlywinks Trail, Bend, OR 97701	Woods Creek Rd, Philomath, OR 97370	248910	11981
North Campground, Lane County, OR	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	239993	9515
McKenzie River Trail, Lane County, OR	Fall Creek Access Rd, Alsea, OR 97324	152778	7353
Tolo Creek	Paulina Lake Campground, La Pine, OR 97739	157187	7204
Woods Creek Rd, Philomath, OR 97370	Paulina Lake Campground, La Pine, OR 97739	296303	12824
National Forest Development Road 1910, Westfir, OR 97492	Kiwa Butte Trail, Bend, OR 97701	167563	8388
McKenzie River Trail, Lane County, OR	16213-16221 Skyliners Rd, Bend, OR 97701	131869	6141
5057 Riordan Hill Dr, Hood River, OR 97031	National Forest Development Road 1912, Westfir, Oregon 97492	355060	14045
Tiddlywinks Trail, Bend, OR 97701	Tolo Creek	179510	8478
North Campground, Lane County, OR	Swede Ridge Rd, Bend, OR 97701	212195	9741
16213-16221 Skyliners Rd, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	258588	12701
McKenzie River Trail, Lane County, OR	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	282053	11979
National Forest Development Road 1910, Westfir, OR 97492	16213-16221 Skyliners Rd, Bend, OR 97701	189460	9361
National Forest Development Road 550, Lowell, OR 97452	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	291184	13018
Storm King Trail, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	215868	9734
16213-16221 Skyliners Rd, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	35488	2097
Storm King Trail, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	260397	12956
Fall Creek Access Rd, Alsea, OR 97324	Camp Tapawingo, Black Rock Road, Falls City, Oregon	98705	5502
Tiddlywinks Trail, Bend, OR 97701	Storm King Trail, Bend, OR 97701	12556	1261
Tiddlywinks Trail, Bend, OR 97701	National Forest Development Road 550, Lowell, OR 97452	188960	9919
Cascade Lakes National Scenic Byway, Bend, OR 97701	National Forest Development Road 550, Lowell, OR 97452	179974	9248
16213-16221 Skyliners Rd, Bend, OR 97701	Storm King Trail, Bend, OR 97701	9706	1487
